feature,pearson_with_fraud,spearman_with_fraud,missing_pct,VIF,multicollinearity_risk
CountryCode,,,0.0,2818348445.778263,Very High
Amount,0.5573700909352302,0.07345727765085817,0.0,55.53394296585839,Very High
Value,0.566738614427724,0.07703979578933495,0.0,56.26469867362259,Very High
PricingStrategy,-0.033821070164584924,-0.03107949777008159,0.0,1.1353497164978024,Low
FraudResult,0.9999999999999999,1.0,0.0,1.4772455323945541,Low
TransactionStartTime_hour,0.008295398584017333,0.008151966551156924,0.0,1.0014141820197413,Low
TransactionStartTime_day,-0.008636240571072202,-0.008579311169375005,0.0,1.4052794867737965,Low
TransactionStartTime_month,-0.008886560812666014,-0.004721721931339804,0.0,169.53492953744893,Very High
TransactionStartTime_year,0.009811162968807114,0.009811162968806955,0.0,172.8138716500964,Very High
TransactionStartTime_dayofweek,-0.006912526865884195,-0.007179297350037231,0.0,1.025562196307997,Low
